Fecha;Gasolina;TV gasolina;ACPM;TV ACPM
ene-09;7369,61;0;6131,285;0
feb-09;7366,504615;-0,04%;6131,018333;0,00%
mar-09;7351,545385;-0,20%;6120,268333;-0,18%
abr-09;7351,866923;0,00%;6120,726667;0,01%
may-09;6953,267692;-5,42%;5722,070833;-6,51%
jun-09;6944,768462;-0,12%;5726,915833;0,08%
jul-09;6947,447692;0,04%;5727,2375;0,01%
ago-09;6947,484615;0,00%;5727,270833;0,00%
sep-09;6947,583077;0,00%;5722,640833;-0,08%
oct-09;6947,645385;0,00%;5722,706667;0,00%
nov-09;6947,882308;0,00%;5722,955;0,00%
dic-09;7056,843077;1,57%;5812,34;1,56%
ene-10;7053,132308;-0,05%;5930,263333;2,03%
feb-10;7240,577692;2,66%;6025,013333;1,60%
mar-10;7239,164615;-0,02%;6023,074167;-0,03%
abr-10;7433,513077;2,68%;6215,596667;3,20%
may-10;7479,187308;0,61%;6222,573333;0,11%
jun-10;7479,053846;0,00%;6223,886667;0,02%
jul-10;7642,516923;2,19%;6382,547917;2,55%
ago-10;7590,369231;-0,68%;6376,061667;-0,10%
sep-10;7641,864615;0,68%;6495,129167;1,87%
oct-10;7537,07;-1,37%;6411,724167;-1,28%
nov-10;7304,445385;-3,09%;6255,053333;-2,44%
dic-10;7475,454615;2,34%;6255,053333;0,00%
ene-11;8037,193846;7,51%;6872,1025;9,86%
feb-11;7985,656923;-0,64%;6795,069167;-1,12%
mar-11;8196,213077;2,64%;7003,8925;3,07%
abr-11;8346,196923;1,83%;7154,476667;2,15%
may-11;8346,362308;0,00%;7154,774167;0,00%
jun-11;8396,406154;0,60%;7225,561667;0,99%
jul-11;8411,395385;0,18%;7236,61;0,15%
ago-11;8389,046923;-0,27%;7437,3075;2,77%
sep-11;8411,29;0,27%;7377,63;-0,80%
oct-11;8407,312308;-0,05%;7477,638333;1,36%
nov-11;8496,227692;1,06%;7627,630833;2,01%
dic-11;8503,426154;0,08%;7727,6275;1,31%
ene-12;8549,676154;0,54%;7827,1925;1,29%
feb-12;8656,153077;1,25%;7936,016667;1,39%
mar-12;8771,563077;1,33%;8033,454167;1,23%
abr-12;8899,577692;1,46%;8033,45;0,00%
may-12;8869,773077;-0,33%;8041,783333;0,10%
jun-12;8715,262308;-1,74%;7941,784167;-1,24%
jul-12;8576,584615;-1,59%;7841,78;-1,26%
ago-12;8597,476923;0,24%;7941,785833;1,28%
sep-12;8724,092308;1,47%;7987,514167;0,58%
oct-12;8799,936923;0,87%;8095,2275;1,35%
nov-12;8693,575385;-1,21%;8123,891667;0,35%
dic-12;8589,773077;-1,19%;8116,913333;-0,09%
ene-13;8395,502308;-2,26%;8082,371667;-0,43%
feb-13;8523,019231;1,52%;8248,9075;2,06%
mar-13;8649,895385;1,49%;8409,610833;1,95%
abr-13;8650,730769;0,01%;8174,050833;-2,80%
may-13;8505,833846;-1,67%;8055,91;-1,45%
jun-13;8530,540769;0,29%;8075,590833;0,24%
jul-13;8544,950769;0,17%;8223,995833;1,84%
ago-13;8544,944615;0,00%;8215,860833;-0,10%
sep-13;8544,943846;0,00%;8217,485;0,02%
oct-13;8408,120769;-1,60%;8213,978333;-0,04%
nov-13;8264,020769;-1,71%;8212,626667;-0,02%
dic-13;8259,511538;-0,05%;8211,3675;-0,02%
ene-14;8380,944836;1,47%;8307,762125;1,17%
feb-14;8460,6151;0,95%;8300,855403;-0,08%
mar-14;8460,6151;0,00%;8300,855403;0,00%
abr-14;8481,331235;0,24%;8389,509403;1,07%
may-14;8464,288196;-0,20%;8380,413886;-0,11%
jun-14;8464,258879;0,00%;8369,216336;-0,13%
jul-14;8617,677308;1,81%;8360,936486;-0,10%
ago-14;8617,688151;0,00%;8355,179786;-0,07%
sep-14;8617,688151;0,00%;8355,179786;0,00%
oct-14;8643,13674;0,30%;8395,528136;0,48%
nov-14;8518,702185;-1,44%;8304,417686;-1,09%
dic-14;8391,169502;-1,50%;8216,013819;-1,06%
ene-15;8296,866593;-1,12%;8115,161119;-1,23%
feb-15;8154,177496;-1,72%;8065,405337;-0,61%
mar-15;7854,188661;-3,68%;7756,642637;-3,83%
abr-15;7854,192275;0,00%;7754,292137;-0,03%
may-15;7854,184243;0,00%;7745,558887;-0,11%
jun-15;7944,311074;1,15%;7809,983713;0,83%
jul-15;8079,146266;1,70%;7848,251613;0,49%
ago-15;8102,55553;0,29%;7733,460463;-1,46%
sep-15;8031,43217;-0,88%;7649,895913;-1,08%
oct-15;7932,149616;-1,24%;7669,197713;0,25%
nov-15;7799,200477;-1,68%;7578,782113;-1,18%
dic-15;7713,994704;-1,09%;7424,12337;-2,04%
ene-16;7635,365165;-1,02%;7310,464116;-1,53%
feb-16;7517,171533;-1,55%;7297,998216;-0,17%
mar-16;7411,020529;-1,41%;7257,408516;-0,56%
abr-16;7502,483384;1,23%;7334,302366;1,06%
may-16;7607,555876;1,40%;7334,302366;0,00%
jun-16;7607,555876;0,00%;7334,302366;0,00%
jul-16;7607,555876;0,00%;7230,010998;-1,42%
ago-16;7721,876888;1,50%;7366,919998;1,89%
sep-16;7823,27647;1,31%;7366,919998;0,00%
oct-16;7823,27647;0,00%;7487,575448;1,64%
nov-16;7935,03934;1,43%;7487,575448;0,00%
dic-16;7896,502441;-0,49%;7732,949729;3,28%
